,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
218,218,i am sorry you had to come in,I'm so upset because I just found out my car was towed from the parking garage at work.,I found a key in your coat pocket,I am sorry you had to come in.,high,What's wrong?,Is everything alright? The customers seem frustrated.,high,0.19279082,0.15855733,0.019137515,0.1075874
219,219,ben could tell him about pompano,Can you recommend a good spot for lunch near the beach?,Have you heard about the best fish dish at the new restaurant?,Ben could tell him about Pompano.,high,How do you plan to handle the unfamiliar waters?,"Hey Ben, I've heard about this great new fishing spot near Pompano Beach. Have you been there before?",high,0.19222997,0.19502467,0.14147238,0.41524494
220,220,what enron entity owns the eott gp,What is the primary generator that produces electricity from natural gas in North America?,Do you know which Enron entity manages the EOTT investments?,What Enron entity owns the EOTT GP?,low,Have you got a minute to discuss our partnership?,Do you happen to have that information at hand?,low,0.13776344,0.68622214,0.08846843,0.026112437
221,221,let me know when you get this,Did you remember to pack my bag for the trip tomorrow?,I need you to bring the blue folder from the office.,Let me know when you get this.,high,Have you finished reviewing the proposal?,Have you managed to find a solution to your email problem yet?,high,0.19599597,0.11388855,0.09041576,0.1967124
222,222,i wanted to go drinking with you,are you free tonight?,Do you fancy trying that new bar down the road?,I wanted to go drinking with you.,high,Did you get a chance to talk to your family about it?,"Hey Tom, how about we grab a drink tonight?",high,0.19668715,0.14473404,0.08578331,0.19008511
223,223,we dont seem to have any positive income there,We are facing financial difficulties.,I checked our sales report for last month,We don't seem to have any positive income there.,high,How is your new venture going?,What's the current sales figure for product X?,high,0.1341933,0.080416955,0.19436169,0.18290946
224,224,i will be back friday,Are you attending the team meeting on Friday?,Do you have plans for next week?,I will be back Friday.,high,Are you free tomorrow?,Is it still possible to help you with your move this weekend?,high,0.29090917,0.29474902,0.26383722,0.23443937
225,225,please make sure bob kelley is on the list,is Bob Kelley attending the conference?,Let's discuss the attendees for the marketing strategy meeting.,Please make sure Bob Kelley is on the list.,high,How's the guest list coming along?,May I check if Bob Kelley is one of the confirmed attendees for the event?,high,0.32537228,0.13236119,0.12754703,0.3151797
226,226,its not working very well,can you hear me now?,Have you tried updating the app recently?,It's not working very well.,high,Why is this printer taking so long?,Do you think we're close to getting this thing put together?,high,0.057568163,0.21324201,0.189205,0.047064915
227,227,let him pursue his claims with everyone else,Have you ever encountered someone with an unproven claim?,He insists that he is the rightful heir to the throne.,Let him pursue his claims with everyone else.,low,Do you think we'll be able to resolve this anytime soon?,Mary suggested I wait for the company to make its final decision.,low,0.15381925,0.22168198,0.0163223,0.07741819
228,228,if not can i call you,Are you free to meet up tomorrow?,"I've lost my way, can you give me directions?",If not can I call you?,high,Do you have some time today?,Is this a good time to talk about the new project?,high,0.25032854,0.18517424,0.21030295,0.08103434
229,229,we are still in palacios having a quiet am,Where are we having lunch today?,Did you receive the email about our plans for this weekend?,"We are still in Palacios, having a quiet AM.",low,How did you like the breakfast we had at that quaint café?,Have you finished going through those documents yet?,low,0.24174581,0.12533402,0.19387862,0.07560127
230,230,i also just received my blackberry cool,"I just got my new smartphone, what do you think?",Have you received your new work phone yet?,"I also just received my Blackberry, cool.",low,Have you seen any of the new phone releases?,"Hey Michael, your package came in?",low,0.28048474,0.35826567,0.19220394,0.08312455
231,231,do you still need me to sign something,I need you to sign the new contract before 5pm today,I need you to bring your ID for verification at the bank.,Do you still need me to sign something?,high,Are you almost done with the contracts?,"What's the status on the contracts, Lisa?",high,0.1951787,0.19865875,0.18664229,0.13818355
232,232,i will be checking up with lisa,How's Lisa doing after the surgery?,Have you spoken to Mark about the project's deadline?,I will be checking up with Lisa.,high,Have you decided on a new project lead?,Can we arrange a time later today to discuss the project finances?,high,0.3449738,0.14182967,0.14128393,0.12490631
233,233,i will likely not be available,can you make it to my birthday party tomorrow?,Do you have time for a quick call tonight?,I will likely not be available.,high,Will you still have time to meet up before the wedding?,Can I discuss our project proposal with you before we present it to the team?,high,0.20954491,0.24058905,0.35125947,0.11561019
234,234,ill meet you at bill sperrys office at 1230,Where are we meeting for the project discussion today?,Let's discuss the Bill Sperry project proposals at his office today.,I'll meet you at Bill Sperry's office at 12:30.,low,How's your day going so far?,Where should we meet to discuss the business matters tomorrow?,low,0.2654413,0.25369036,0.12282853,0.25965255
235,235,how can we get these answers,What do I need to know about quantum entanglement?,The stock market has been volatile lately. Which indices have shown the greatest gains?,How can we get these answers?,high,We need to access the patient's medical history,Can we reach out to some experts for help on these equations?,high,0.19143322,0.17573385,0.11767544,0.21916902
236,236,can we meet at 330,Are you free to meet today?,I'd like to discuss the project timeline.,Can we meet at 3:30?,high,Did you get my previous message about our meeting?,What time would be good for us to meet tomorrow about the new project?,high,0.31098303,0.09977014,0.18748777,0.35139248
237,237,both of us are still here,are you still in the meeting?,Have you received my email about the meeting tomorrow?,Both of us are still here.,high,How have you been feeling lately?,Sarah: Is there any sign of improvement on this side?,high,0.22862804,0.15685228,0.14479902,0.045229975
238,238,did you send out a global message from me,did you receive the message i just sent?,I just noticed an unusual email activity from your account.,Did you send out a global message from me?,high,Have you seen the latest update from HR?,Lisa asked me about the status of the upcoming project.,high,0.19185472,0.13339844,0.087690786,0.07701495
239,239,the rest is a byproduct of slapshot,can you explain the concept of entropy?,Have you analyzed the hockey team's power play strategies yet?,The rest is a byproduct of slapshot.,high,What do you think is the secret behind your impressive performance?,Did you ever imagine our slapshots would lead us to where we are today?,high,0.09031853,0.26193887,0.14987475,0.2405617
240,240,any interest in chatting about a job at ubs,How's the job market in Zurich?,I heard UBS is hiring for new positions,Any interest in chatting about a job at UBS?,low,What's it like working at UBS?,"Hey John, it's good to see you! I heard you work at UBS now. Do you happen to know of any open positions?",low,0.36321384,0.31553274,0.4907121,0.38134515
241,241,1  number of questions on this,are we still on for the weekend?,How many mathematical problems do you have for me to solve?,1 - number of questions on this.,low,What's been going on?,"What can I help you with regarding your test results, John?",low,0.121186905,0.25739062,0.036397398,0.12544444
242,242,how soon do you need it,can you send me the updated project report by tomorrow?,I need the report completed for the board meeting tomorrow.,How soon do you need it?,high,Can you give me your estimate on the project timeline?,Do you have some time to go over these reports with me?,high,0.17772901,0.20956919,0.151753,0.100337535
243,243,how are things with you,I'm stuck in traffic and I'm going to be late for work,I've just received great news from my doctor,How are things with you?,high,I've tried reaching you several times,"I see you're looking better these days, Lisa",high,0.05634147,0.061089315,0.07415897,0.07685077
244,244,john can you give konni a call,Did John's mother call today?,I heard Konni mentioned in the news today,"John, can you give Konni a call?",high,Did you get any feedback from the interviewer?,Can I call you back in 10 minutes to discuss Konni's computer issue?,high,0.32893533,0.063576505,0.1021571,0.23765382
245,245,i guess this is ok if you are,can I crash at your place tonight?,Do you think we should go with the red or blue design for the website?,I guess this is OK if you are.,high,Can I have my turn on the TV soon?,How about we try something completely different this year? What if we rent a cabin in the woods for our vacation?,high,0.18827602,0.15464728,0.10984973,0.113787726
246,246,i am not aware of any,is the new moon visible in the city tonight?,Have you received the latest company financial report?,I am not aware of any.,high,Have you received any information about the upcoming project?,"Hey Lisa, have you heard anything about a potential merger with XYZ Corporation?",high,0.17080453,0.13622949,0.15845361,0.09862997
247,247,perhaps there was a glitch,did the conference registration system fail again today?,The stock market numbers seem odd today.,Perhaps there was a glitch.,high,Why is your phone behaving so erratically?,What should we do now that the software has crashed? We'll have to start over if we begin troubleshooting.,high,0.16772738,0.14600779,0.18018527,0.12875187
248,248,what number should he call you on,I just got the new job and I'm excited to start working with you,"I've found an old phone number in my contacts, let's make sure it's still yours.",What number should he call you on?,high,I think we should clear the air before things get any worse.,What about having that meeting over lunch next week?,high,0.10474666,0.17520809,0.06590079,0.100190215
249,249,we havent sold the us business as yet,are we prepared to list the US subsidiary?,Have you made any decisions about the US division's future?,We haven't sold the US business as yet.,low,Are you considering a restructuring of our assets?,What's the latest on the US business negotiations?,low,0.2799536,0.22506195,0.21725044,0.4401222
250,250,ava do we need to worry about this,have you seen the forecast for tonight?,The stock market has experienced a significant drop today.,"Ava, do we need to worry about this?",high,I'm not sure if I should contact him directly,What could have caused this unexpected cost?,high,0.18002194,0.099866346,0.09017685,0.03999173
251,251,you have a nice holiday too,I just returned from an amazing beach holiday!,I'm enjoying the sunny weather on my vacation in Bali,You have a nice holiday too.,high,How long will you be away?,What a beautiful day this is! I wish I could join you.,high,0.13342473,0.17152958,0.10928291,0.09083928
252,252,we need to talk about this month,why are my credit card payments overdue?,You haven't paid rent this month.,We need to talk about this month.,high,Have you had a chance to review your recent reports?,Let's meet this afternoon to go over our finances for the month,high,0.19256383,0.13230321,0.12323773,0.15192282
253,253,i tried that to no avail,"I'm struggling to fix my computer, have you tried troubleshooting the BIOS?",Have you tried restarting your computer?,I tried that to no avail.,high,Do you think I'm just not talented enough?,What if we turn these pieces upside down?,high,0.3668381,0.38952404,0.037386212,0.04714183
254,254,thats not the behavior that i was looking for,I'm frustrated with the new employee's lack of communication skills,I promised to help you move next Saturday,That's not the behavior that I was looking for.,low,Why don't you care about Mary's education?,"Hey Lisa, can we discuss the guest list for John's surprise party?",low,0.13440448,0.059904035,0.15575087,0.0681772
255,255,i was trying to remember what bobby said,what did bobby say to us last weekend?,Did Bobby mention the details of his grandma's old house?,I was trying to remember what Bobby said.,high,What's the plan for our itinerary?,"Sarah, could you help me with some details about Bobby's upcoming birthday?",high,0.28892174,0.29996797,0.08905022,0.21280137
256,256,im quite interested as i told lyn,What are your plans for the weekend?,Have you heard about the latest research in quantum physics?,I'm quite interested as I told Lyn.,low,What do you think is going wrong with this project?,Did you hear about the new quantum computing breakthrough?,low,0.11873547,0.15464215,0.028280709,0.15333429
257,257,how do you like the blackberry,"I'm considering buying a new smartphone, do you have any experience with Blackberry phones?",Have you tried the new Blackberry pie at the local bakery?,How do you like the Blackberry?,low,I'm still deciding whether to use this phone or my old one.,"Oh, I see you have a new phone. What kind is it?",low,0.48958015,0.27908114,0.28227878,0.2887653
258,258,we are waiting on the cold front,The weather forecast says we'll have a heatwave next week. Is it really going to be that hot?,Have you checked the weather forecast for the upcoming event?,We are waiting on the cold front.,high,Do you think we should delay our departure?,Have you heard any news about when we can expect some rain?,high,0.29922324,0.18739,0.12703931,0.23373562
259,259,neil has been asking around,What's the latest rumour about Neil Armstrong?,Have you heard who won the Nobel Prize in Chemistry this year?,Neil has been asking around.,high,Do you know what Neil is looking for?,"Sarah, have you heard any rumors about your husband's job situation lately?",high,0.37130246,0.20232181,0.28844917,0.19392037
260,260,tried to call but couldnt reach you,are you free to talk on sunday?,I'll call you during lunch.,Tried to call but couldn't reach you.,high,Did something happen with Alex?,"Hi Sarah, I'm running late for my appointment and I wanted to let you know.",high,0.21901298,0.18191096,0.09600336,0.15313327
261,261,maybe michael will go to quil tomorrow,Is Michael going to Quil tomorrow?,Do you think Quil's workshop might be held on Thursday instead of Wednesday?,Maybe Michael will go to Quil tomorrow.,low,Should I make plans for the weekend?,Will we be going to Quil Market this weekend?,low,0.62295055,0.23584631,0.14056225,0.31489378
262,262,we sold the uk business to aep,Did we finally complete the AEP deal?,I heard rumors of a major business deal. What's the latest?,We sold the UK business to AEP.,low,What's the latest news on the UK operation?,Have you had any news about our UK business lately?,low,0.34057376,0.17330231,0.27965876,0.40433747
263,263,the master agreement references the trading business,What are the key terms for our international trade agreement?,Have you reviewed the terms of the new business contract?,The master agreement references the trading business.,low,How do you think our recent investments will impact our quarterly profits?,What can I help you with regarding the business partnership documents?,low,0.46672487,0.2882507,0.16508707,0.2644508
264,264,are we ready for this on monday,Have you finished preparing the presentation for Monday?,We have an important project deadline coming up on Monday.,Are we ready for this on Monday?,high,"I've double-checked our itinerary, but I'm worried we might have missed something.",Is everything set for our presentation next week?,high,0.21906835,0.08658104,0.034989387,0.14358844
265,265,as you know it isnt easy,Have you ever felt like giving up on your dreams?,You've been promoted to a manager role.,"As you know, it isn't easy.",low,How do you think we're going to manage our schedules?,Do you think we should consider lowering our asking price for the house?,low,0.118353866,0.08685208,0.11433817,0.16485193
266,266,are you on the diet with me,I've been craving something sweet all day,I've decided to cut out sugar completely from my diet.,Are you on the diet with me?,high,"I've seen some amazing changes in you lately, what's your secret?","Hey Tom, how's your day been since we started this new diet?",high,0.21615845,0.24276024,0.19778654,0.23888277
267,267,that would likely be an expensive option,Can we charter a private jet for our upcoming vacation?,I heard about a new phone model with diamond encrusted buttons.,That would likely be an expensive option.,high,Do you think we could scale up production?,What about buying a piece of art as an investment for the kids' future?,high,0.23584127,0.13168786,0.09033823,0.1589187
268,268,i have forwarded to kelly,I just got the latest report from John.,Have you received the latest project proposal from HR?,I have forwarded to Kelly.,high,Have you received my email about the project?,Have you seen this email I got about the project?,high,0.07266179,0.23656614,0.21228217,0.13167101
269,269,when do we review with el paso,We need to finalize our report before meeting with El Paso's team.,We need to finalize the plans for next quarter's business trips.,When do we review with El Paso?,high,How's our progress on the project coming along?,Let's plan a time tomorrow to discuss the details of our sales figures.,high,0.28745916,0.14302646,0.101786666,0.087518096
270,270,i just had my head in the clouds,Have you ever felt like you're stuck in neutral?,Have you seen the Northern Lights lately?,I just had my head in the clouds.,high,You seemed really preoccupied just now.,"'Sarah, I've just had this sudden urge to build a treehouse.'",high,0.10660485,0.23197867,0.057146545,0.09965849
271,271,would you have john send me a message,I think John's new car is really impressive,John mentioned he'd contact you about the project plan,Would you have John send me a message?,high,Do you think it's worth sharing with the team?,"What's your take on the new project, Tom?",high,0.13779898,0.24165076,0.06462636,0.06358425
272,272,where are they hitting the books at,where are they studying for exams?,I've heard they're studying at the library,Where are they hitting the books at?,high,I think I know what's distracting you from your books,"Hey Lisa, what's keeping you from hitting the books?",high,0.1720085,0.13582161,0.09823553,0.17598552
273,273,your voice cheered me up,"I'm feeling down today, what's your favorite song to lift my mood?","You look down in the dumps today, care to talk about it?",Your voice cheered me up.,high,How have you been lately?,"Tom: Hey Lisa, it's been a rough day...",high,0.30057618,0.12260745,0.17193432,0.09197353
274,274,meeting with alaska governor tony knowles on november 30th,Are you attending the upcoming conference?,Have you arranged any meetings with notable political figures in the near future?,Meeting with Alaska Governor Tony Knowles on November 30th.,low,What do you hope to achieve with your initiatives?,"Hi John, do you have some time to talk about Michael's school progress?",low,0.19476117,0.29083842,0.18233767,0.1101385
275,275,coal switching to ng and power guys stimulating demand,Will the US Energy Transition be driven by coal or natural gas?,Have you heard about the shift from coal to natural gas in the power sector?,Coal switching to NG and power guys stimulating demand.,low,Have you seen any significant changes in our industry lately?,What's your take on the recent surge in NG demand?,low,0.51633185,0.4634424,0.3042693,0.3870318
276,276,we will keep you posted,When will the new product launch?,Have you made a decision about the new project yet?,We will keep you posted.,high,Do you think we should wait for your call from the doctor?,What's the latest with the mortgage application?,high,0.1658302,0.14213215,0.14697485,0.18796504
277,277,do we have anyone in portland,we're looking for someone in the western states,Let's plan our next business trip.,Do we have anyone in Portland?,high,Why haven't you returned my calls?,Do we have any employees based in Oregon?,high,0.2152161,0.10354756,0.10995975,0.3691188
278,278,if not i can try information in omaha,Can you find the information I need in the Omaha records?,I need the latest stock prices for Omaha's leading tech companies.,"If not, I can try information in Omaha.",low,Do you think you'll be able to get in touch with them?,Do you know if Dan has any dietary restrictions or preferences we should consider for the party?,low,0.4885068,0.27684876,0.2466985,0.1920386
279,279,we are sitting in weils offices waiting to negotiate,Can we finalize the merger talks today?,Let's meet at Weil's offices to discuss the deal terms.,"We are sitting in Weil's offices, waiting to negotiate.",low,I'm starting to feel anxious about this negotiation.,Have you had any last-minute preparations I should be aware of?,low,0.18072656,0.26444697,0.12040208,0.14998358
280,280,hope you guys are doing fine,How was your trip to the beach yesterday?,I've heard the new restaurant down the street is excellent.,Hope you guys are doing fine.,high,What's new in your life?,"Mark, what's new with your garden?",high,0.17909892,0.10489473,0.13212325,0.078506246
281,281,are you going to call,Are you going to call me back after the meeting?,Do you have the meeting details for tomorrow?,Are you going to call?,high,Will you have time to talk later today?,"Hi Tom, I hope you're doing well. I was just wondering about our project...",high,0.26005852,0.1773271,0.26115352,0.10735542
282,282,they have to go away and have a think,are you struggling with the new project?,Your constant negativity is bringing down the team morale.,They have to go away and have a think.,high,Do you think we'll ever be able to agree?,Can we discuss our plan for the upcoming home renovations?,high,0.04975809,0.096096374,0.051359754,0.09711063
283,283,i would be glad to participate,can you help me with my project?,I'd like to organize a charity event. Can you help?,I would be glad to participate.,high,Are you ready to start brainstorming?,How about we meet up tomorrow evening to finalize our plans for the campaign?,high,0.047303118,0.29617727,0.12924229,0.19621941
284,284,this is all so unreal,Have you ever woken up in a hospital bed with no memory of who you are?,Did you really win the lottery?,This is all so unreal.,high,How did this happen?,"Tom, do you think this is real?",high,0.19805957,0.19730704,0.027892567,0.09171754
285,285,will give you more shortly,can you give me the exact date of your last appointment?,Have you finished analyzing the customer feedback reports?,Will give you more shortly.,high,Are you almost done with the calculations?,Can I give you an idea of what we'll be producing and how it will benefit our customers?,high,0.21821985,0.12785617,0.10064661,0.1381259
286,286,what level of detail do you need,What are the safety precautions to take while hiking in the Appalachian Mountains?,I'm considering buying a used car. Which model should I choose?,What level of detail do you need?,high,Can you review these numbers?,"The structural design of this building is quite complex, I think it would be best if we go over every detail carefully together.",high,0.15718052,0.1989854,0.034123726,0.23572038
287,287,i know trey and cam will be there,Have you confirmed the team's attendance at the party?,I heard Trey and Cam are organizing the event next week.,I know Trey and Cam will be there.,low,Have you finished the decorations?,Do you know where Trey and Cam usually meet for their hikes?,low,0.21121898,0.47640854,0.0437223,0.49460068
288,288,please stay on top of the security issue,have you checked the latest security patch?,I received a suspicious email at work.,Please stay on top of the security issue.,high,Have you noticed anything unusual going on?,"Hi Lisa, have you made any progress on that unusual network traffic we detected last night?",high,0.22807372,0.16420877,0.042059198,0.18743297
289,289,if possible id like to get amys opinion,Have you seen the new movie trailer?,Do you think we should invite Tom to the party?,"If possible, I'd like to get Amy's opinion.",low,Do you think we should go with a more professional or friendly approach?,Shall we invite John to join us as well for this discussion?,low,0.08462184,0.17652267,0.08881128,0.14411697
290,290,aig has agreed capital call not due until monday,When do I expect the call from AIG regarding the capital investment?,Have you received the latest financial update from AIG?,AIG has agreed capital call not due until Monday.,low,Have you finalized those agreements?,Have we received word on when the capital call will be due?,low,0.62801903,0.5265846,0.14698948,0.51028067
291,291,have we assigned employees to netco,Have we finalized the project plan for NetCo?,Let's check our current project assignments.,Have we assigned employees to NetCo?,low,Do you think we'll make it on time?,"Hey Lisa, have you checked our employee schedules recently?",low,0.19812793,0.073754005,0.068908885,0.1836339
292,292,am i getting a good package,I just received your birthday gift and I'm excited to give it to you!,I heard you're getting a subscription box,Am I getting a good package?,high,This is everything they said I'd get?,What did you get in your review this year?,high,0.1057321,0.11769119,0.03471776,0.15364988
293,293,we went to palacios to fish,Did we have a good time on our last fishing trip?,Have you been to Palacios recently for fishing?,We went to Palacios to fish.,low,Was it a good day out on the lake?,Did we remember to bring bait for the trip?,low,0.32302564,0.55917513,0.22637972,0.17015788
294,294,i worked on the grade level promotion,are you done with the grade level project?,Have you been working on your department's annual budget?,I worked on the grade level promotion.,high,How are the kids doing after the test?,"Hey Lisa, how's that new record-keeping system coming along?",high,0.41478917,0.2662899,0.14974017,0.077146515
295,295,the party at aa is roger willard,Who is the host for tonight's gathering?,"I heard you were organizing a party at AA, who is hosting it?",The party at AA is Roger Willard.,high,Where's Roger?,"Mark, would you be available for dinner at my place tonight?",high,0.2944128,0.26966554,0.2202942,0.08808315
296,296,will call when i leave,Are you almost here?,Do you know when the train usually arrives at the station?,Will call when I leave.,low,Do you have a chance to talk about Dad's condition?,Do you have a minute to discuss the neighborhood watch meeting plans?,low,0.08400228,0.21447884,0.15084189,0.197299
297,297,through this account cash flows to corporate,can you transfer money to my account?,Have you received the company's latest financial report?,Through this account cash flows to corporate.,high,Have you seen our latest financial report?,How can we generate additional revenue for the company?,high,0.291503,0.27098614,0.099074185,0.3378749
298,298,fyi i saw ken caminiti at animal kingdom yesterday,Have you ever seen Ken Caminiti at Animal Kingdom?,Did you go to Animal Kingdom over the weekend?,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,low,Did you know they had celebrity appearances at the theme parks?,"Hey Lisa, did you happen to see any interesting animals at Animal Kingdom lately?",low,0.56072116,0.34658223,0.25205034,0.44037032
299,299,i dont know that i will be back monday,Are you going to make it back to the office on Monday?,Do you have plans for next week?,I don't know that I will be back Monday.,low,What's your schedule looking like for the rest of the week?,Will you be able to make it back in time for the party?,low,0.35526252,0.30846438,0.2694884,0.1943385
300,300,what do you think about tracy and jim,Tracy and Jim are having an affair. Do you think they'll get caught?,I just saw Tracy and Jim arguing at the park.,What do you think about Tracy and Jim?,high,Have you seen Jim's text about the picnic?,Have you heard any rumors about what's really going on between Tracy and Jim?,high,0.4227307,0.25413525,0.22311047,0.39355707
301,301,are you in a good mood,I'm so excited for the concert tonight!,I've received good news today,Are you in a good mood?,high,How's your day going so far?,"Hey, what's on your mind?",high,0.1290579,0.04979592,0.23249027,0.22326678
302,302,can you help get this cleared up,can we settle the outstanding bill today?,The instructions for setting up the new software are unclear.,Can you help get this cleared up?,high,What's going on that's taking your attention away from this?,Do you think we can discuss our wedding budget today?,high,0.07151019,0.07674013,0.03491273,0.16417167
303,303,i have a high level in my office,can you send me the latest sales report?,Do you have a important meeting in your office soon?,I have a high level in my office.,high,Has your promotion affected your work routine?,"Hey Michael, do you have a moment to go over some concepts for our upcoming campaign?",high,0.11561973,0.3792099,0.32577515,0.0854241
304,304,i havent had a conversation on this since 1999,have you ever heard of the phrase 'I haven't had a conversation on this since 1999'?,Have we discussed the latest advancements in AI technology?,I haven't had a conversation on this since 1999.,high,What's been your favorite hike recently?,Have you heard any news about Professor Thompson lately?,high,0.12173416,0.18003489,0.1710849,0.2045179
305,305,im working on a liquidity forecast,Can you explain the current financial situation?,Have you reviewed the latest cash flow report?,I'm working on a liquidity forecast.,high,Are we going to be able to meet our financial obligations soon?,"Hey Sara, do you have any insight into when we might expect some incoming revenue?",high,0.2641204,0.29145944,0.23139796,0.21792625
306,306,if we dont get it could be trouble,The project deadline is nearing and we're still working on the final draft.,The stock market has seen record highs recently.,"If we don't get it, could be trouble.",high,Do you think we'll get the report before our deadline?,Have you heard back from the bank about our loan application yet?,high,0.057344496,0.08611791,0.13898455,0.19252887
307,307,did you set up my corporate account for me,Can you help me with my corporate finance?,I've completed the registration process for your new business account.,Did you set up my corporate account for me?,high,I've been waiting for what feels like an eternity for this project to start,Have you received an email with the details of our corporate account?,high,0.19690311,0.20428339,0.044435643,0.31897858
308,308,are you being a baby,"I'm so frustrated with my phone bill, I just got hit with a huge fine for missing a payment.",I can't figure out how to use this app.,Are you being a baby?,high,Can't you see that your criticism is affecting Mary's self-esteem?,Can you please clean up the living room? It's getting hard to focus on my work.,high,0.17700672,0.08331232,0.10846164,0.15377718
309,309,maybe traffic will be light on thursday,are you planning to drive to work on Thursday?,Do you think we can make it to the meeting on time if we leave at 4 pm?,Maybe traffic will be light on Thursday.,high,Do you think we'll make it on time?,"What day do you think is the best for our road trip, traffic-wise?",high,0.40613312,0.20872915,0.12068059,0.3160683
310,310,mike is putting pressure on me,How's your day going with the project deadline approaching?,Mike asked us to meet at the office tomorrow at 9 am.,Mike is putting pressure on me.,high,Can we discuss my future plans?,Can I speak with you about the latest developments on our project?,high,0.17000502,0.30237222,0.07370748,0.07868234
311,311,kind of like silent fireworks,Did you ever feel like you're just going through the motions?,Have you ever seen the rain forest at night?,Kind of like silent fireworks.,high,What do you mean by 'silent fireworks'?,Mark: Can you feel the peace and tranquility of this moment?,high,0.114868365,0.2699914,0.43909785,0.18375596
312,312,can you get with mary and make sure,did you get the invitation to John's birthday party?,I need to discuss some important matters with Mary. Can you arrange a meeting?,Can you get with Mary and make sure?,high,Is the document ready yet?,Could you please take care of Mary's dog for us while we are away?,high,0.19251098,0.3680348,0.054612856,0.32949436
313,313,where are you dsm boy,I'm stuck in traffic on the highway,I see the sun setting over the lake.,Where are you DSM boy?,high,"I've been trying to call you all day, what's going on?","Hey DSB, I think I've got something really interesting to discuss regarding this political issue.",high,0.096515864,0.108906806,0.15074712,0.048837364
314,314,she has the game tomorrow,What game does Sarah have scheduled for the weekend?,Do you know when Emily's soccer team plays next?,She has the game tomorrow.,high,What do you think is Emily's strategy this time?,What day does she have her soccer game?,high,0.4686667,0.4273163,0.26469958,0.46935132
315,315,i sent it to her,did you send the file to your manager?,Did Bob receive the package from the post office?,I sent it to her.,high,Have you received my message yet?,Have you had a chance to look over the proposal I sent?,high,0.27844042,0.21444339,0.23039833,0.20361534
316,316,remember blackberry doesnt work so well at home,i'm having trouble accessing the company's email server,I'm having trouble sending messages at home.,Remember blackberry doesn't work so well at home.,high,Do you have your phone handy?,"Hi Lisa, I've got some important updates regarding the project.",high,0.23693493,0.34581307,0.22787529,0.03718432
317,317,i think afraid of mass exodus,Are you worried about the impending economic crisis?,Have you heard about the potential economic crisis in neighboring countries?,I think afraid of mass exodus.,high,Do you think we'll be able to weather this storm?,"Hi Tom, how's it going with that new project we discussed?",high,0.24255957,0.11758306,0.11359467,0.08504264
318,318,on call with sp now,What's the status of our pending project?,Have you checked the latest financial news from S&P?,On call with S&P now.,high,How did you manage to get an appointment with the financial advisor so quickly?,"Sarah: Michael, we need to go over the Q3 project plans together today.",high,0.13407306,0.29429746,0.23259842,0.12104967
319,319,could you see where this stands,can you confirm the meeting schedule?,Have you finished the report on Q3 sales?,Could you see where this stands?,high,Do you think our manager would even care about the changes we're proposing?,Can we agree on the project cost before I leave for this unexpected meeting?,high,0.11569248,0.14836626,0.06924695,0.09195563
320,320,sorry for the unfriendly greeting in the lobby,Why did you ignore me at the conference yesterday?,I noticed you looked unfriendly in the lobby today.,Sorry for the unfriendly greeting in the lobby.,high,Did you have a rough morning?,"Hey Lisa, I saw that article you shared on social media last night about sustainable living. I'd love to hear your thoughts on it.",high,0.23253158,0.19164267,0.18028894,0.115396485
321,321,see you on the third,When do you want to meet for dinner?,Let's meet for lunch tomorrow at the usual place.,See you on the third.,high,Are you excited about our trip?,What time should we meet at the art exhibit on Thursday?,high,0.2189586,0.14291166,0.17617944,0.20757002
322,322,did we get ours back,Have you seen our keys?,I found our lost wallet on the street,Did we get ours back?,high,The shelter said we can come and get Whiskers whenever we're ready.,Have you received our package from the last exhibition yet?,high,0.13175048,0.14454228,0.12259504,0.18080078
323,323,diane has info from littler on its proposed training,What are the details of Littler's proposed training for Diane?,Have you received any updates from Littler about their upcoming training sessions?,Diane has info from Littler on its proposed training.,low,What's the latest update you've heard about Littler's new program?,What's the latest on the training project with Littler?,low,0.6442128,0.3879627,0.11373982,0.36647296
324,324,do you have a number for him,Can you please reach out to John for me?,I need to call my friend's father urgently.,Do you have a number for him?,high,I've been trying all morning to reach him,May I borrow your phone for a moment?,high,0.1736899,0.21100903,0.111725464,0.1420505
325,325,what is up with ene,ENE is not responding to my calls,Have you heard the latest news about ENE's new project?,What is up with ENE?,high,I'm really worried about Emma's mood today.,"Hi Mark, could we arrange a time to go over the current status of Project X?",high,0.25576514,0.1363379,0.105184466,0.10059325
326,326,ill call you in the morning,How's your day going?,Do you have the latest project report?,I'll call you in the morning.,high,What did you want to tell me?,Is now a convenient time for us to discuss the business proposal?,high,0.15728772,0.07736762,0.060594507,0.14092854
327,327,can talk about 1 more if needed,Did you finish the project on Friday?,"I've heard great things about your new project, care to tell me more?",Can talk about 1 more if needed.,low,Do you have any tips for prioritizing tasks?,What about we consider going to Europe instead?,low,0.12782082,0.07260452,0.14867334,0.051451802
328,328,i do wish i knew,have you ever felt completely lost in the vastness of space?,Do you know the combination to my safe?,I do wish I knew.,low,What's the holdup this time?,Do you live around here? I saw someone today who looked just like you.,low,0.15976344,0.12752628,0.04885968,0.16242756
