original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s
hope you had a good weekend,How was your weekend getaway?,I finished reading an interesting article on quantum physics.,Hope you had a good weekend.,low
is that ok,can I change the meeting time to 2pm?,Can we meet at the usual place tomorrow?,Is that OK?,high
hows the share price,what's happening with the market today?,I just received great news about the company's earnings report,How's the share price?,high
jan has a lot of detail,Jan's presentation is quite intricate.,I heard Jan prepared an intricate presentation on climate change.,Jan has a lot of detail.,high
need to watch closely,I just saw the financial report and I'm concerned about the decline in profits.,Have you seen the new documentary on climate change?,Need to watch closely.,high
do we know what we need,Are we on the right path?,Let's discuss our plan for the marketing campaign.,Do we know what we need?,high
what do you think,Did you know that I won the lottery last night?,Do you believe the weather will improve tomorrow?,What do you think?,high
does dan know about julia changing groups,I'm surprised to see Julia switching groups without discussing it with anyone,I heard that Julia joined a new club last week,Does Dan know about Julia changing groups?,high
can you bring these to 49c1,Can you pick up some office supplies from the meeting room?,I'll need you to pick up some documents from my office before heading to the meeting.,Can you bring these to 49C1?,high
i can fill you in on more details later,can you tell me about the upcoming conference?,Have you figured out the cause of the technical issue at work?,I can fill you in on more details later.,high
she is taking over global finance legal,Did you know that the world's finance systems are in chaos?,Rumors have it that a new financial regulatory body is being formed.,She is taking over Global Finance Legal.,low
just sitting around,are you still watching Netflix?,"Hey, do you want to come over and help me with this project?",Just sitting around.,high
also it appears no payment is required tomorrow,do i need to bring my wallet for the free trial?,I see your car needs a repair.,Also it appears no payment is required tomorrow.,high
im in 49c1,are we meeting at the beach today?,"Meet me at the library, which section are you in?",I'm in 49C1.,high
i will need to have my memory refreshed,where did we go on our last vacation?,Have you read the latest novel by J.K. Rowling?,I will need to have my memory refreshed.,high
are you there,Are you sure about the meeting today?,Can you help me find the recipe for your famous chocolate cake?,Are you there?,high
i hope he is having a fantastic time,did you hear that John's getting married?,John just boarded his dream vacation flight to Bali.,I hope he is having a fantastic time.,high
please send me an email to let me know,I am still waiting for your confirmation on the project deadline.,I need to confirm some details for the project meeting next week.,Please send me an email to let me know.,high
im out of office till wednesday,can you help me with the Johnson report?,I need to discuss the project proposal with you urgently.,I'm out of office till Wednesday.,low
working on it,can you finish the report by tomorrow?,Can you find out why the project is delayed?,Working on it,low
danny i recommended on monday we cancel it,Did we confirm the meeting for Friday?,I'm sorry to say that I think the project will incur unexpected costs.,Danny I recommended on Monday we cancel it.,low
if so whitt is done,we need to finalize the project by tomorrow,Have you finished preparing the presentation for tomorrow's meeting?,If so Whitt is done?,high
it was very nice,I just got back from the conference and I had an amazing time!,Have you tried the new Italian restaurant downtown?,It was very nice.,high
if so what was it,what was the best book you read last year?,I saw an interesting article about artificial intelligence.,If so what was it?,high
im in stans office,can I get an appointment with Stan?,Have you found the report I left on Stan's desk?,I'm in Stan's office.,high
hey tk how are you doing,I'm feeling so excited for my trip tomorrow!,I've been struggling with my project lately,"Hey TK, how are you doing?",high
in isolation all of these things are trivial,Is the meaning of life really just to be happy?,The stock market prices have reached an all-time high.,"In isolation, all of these things are trivial.",low
the troops just walked in,Have the enemy forces been sighted?,I see the enemy troops approaching our position.,The troops just walked in.,high
dont forget the wood,I'm planning a camping trip for the weekend,Let's make a campfire tonight,Don't forget the wood.,high
im available by cell when you get data points,can you receive data packets remotely?,I need your expert opinion on these financial reports.,I'm available by cell when you get data points.,high
but we should pay them the 4500,The company has sent us the 4500 invoice for services rendered.,The restaurant we booked for dinner has unexpectedly increased their prices.,But we should pay them the 4500.,high
this seems fine to me,can we reschedule the meeting for tomorrow?,The new marketing strategy proposal looks good to me.,This seems fine to me.,high
man i dont want to get sick again,I think I'm coming down with something and I don't want to get infected again,Have you been feeling ill lately?,Man I don't want to get sick again.,low
seemed fine when i picked him up,How was the dog's behavior during your morning walk?,I heard the dog whining before I left the house this morning.,Seemed fine when I picked him up.,low
are you back in town,"I just landed in New York, I'm exhausted from the long flight",I saw your car at the airport today.,Are you back in town?,high
check and find out form,can you confirm your availability for the meeting tomorrow?,The stock price of Apple Inc. has been dropping lately. What could be the reason?,Check and find out form?,high
i still believe a september 30 closing is unrealistic,Can we realistically expect to close the deal by September?,"Given the current market conditions and ongoing negotiations, do you still think we can close the deal by September 30?",I still believe a September 30 closing is unrealistic.,high
this is the crew,Is that the crew you're referring to in your presentation?,Who is on the helicopter team?,This is the crew.,high
what a pain,I just spilled coffee all over my shirt,I spilled coffee on my laptop,What a pain.,high
i think in this case specific is better,What specific details do you think the manager will ask me during my performance review?,Have you tried the new sushi place downtown?,I think in this case specific is better.,high
pressure to finish my review,"I'm struggling to meet my deadline for the project review, what do you think I should focus on?",Your deadline for the project report is coming up soon.,Pressure to finish my review!,high
i like it,I'm thinking of going to the beach tomorrow.,Have you read F. Scott Fitzgerald's The Great Gatsby?,I like it.,high
san francisco was interconnect meeting,What did you learn from the Interconnect meeting?,Did you attend the tech conference in California last week?,San Francisco was Interconnect meeting.,low
about 15 minutes,I'll be arriving at the airport in,How long will it take you to get there?,About 15 minutes.,high
i have 30 minutes then,Are you available to meet today?,Can we discuss the presentation details for next week?,I have 30 minutes then.,high
mikey is invited also,are you going to Mike's birthday party on Saturday?,May I know who is invited to the party apart from Sarah and Tom?,Mikey is invited also.,high
what are the units,What is the average speed of a commercial airliner?,I'm converting 30 degrees Celsius to Fahrenheit.,What are the units?,high
ill ask he just came by,did he just get here?,Have you seen John at the office today?,"I'll ask, he just came by.",low
see you tomorrow,Are you free tomorrow?,I'll bring the reports to our meeting tomorrow.,See you tomorrow.,high
did you mean oxley,I'm going to Oxley College tomorrow for my interview,I need to meet you at the station near Oxbridge Road.,Did you mean Oxley?,high
who should i contact regarding severance,I've been laid off due to company restructuring.,I've been let go from my job and need to know about my severance package.,Who should I contact regarding severance?,low
check with vince strohmeyer,Can you confirm the meeting with Vince Strohmeyer for tomorrow?,I need the latest report on sales figures for Q3.,Check with Vince Strohmeyer.,low
i would agree,the company's decision to downsize has affected our team's morale,Do you think the weather will be nice tomorrow?,I would agree.,high
im taking wednesday off,Do you have any plans for our team meeting on Wednesday?,Do you want to meet next week for brainstorming sessions?,I'm taking Wednesday off.,low
i can get them,can you pick up some groceries for me?,Do you have any fresh tomatoes at the market?,I can get them.,high
i dont know whowhat got everything stirred up today,"something's really bothering you, isn't it?",The boss called an unexpected meeting today.,I don't know who/what got everything stirred up today.,high
i am monitoring email,have you received my email?,Have you received the important email from HR?,I am monitoring email.,high
i am staying at the w hotel,What's your accommodation like in New York?,Have you decided on a place to stay in the city?,I am staying at the W Hotel.,low
will it be delivered,Can I track my package?,"The delivery truck is here, do you want me to bring in the package?",Will it be delivered?,high
still tied up,"I'm waiting for an update on the meeting, have you heard anything?",Have you finished the project?,Still tied up.,high
just my thoughts,Did I really forget my anniversary?,Have you seen the latest movie about artificial intelligence?,Just my thoughts.,high
then they should go home,why did John get into trouble?,"It's raining heavily outside, they should consider staying indoors.",Then they should go home.,high
make sure they are current,can you confirm the validity of these software updates?,Have they paid their bills on time this month?,Make sure they are current.,high
was wondering if you and natalie connected,Did Natalie say she'd meet us at 7?,I saw Natalie at the park with a man yesterday,Was wondering if you and Natalie connected?,high
not at this time,are you available for lunch today?,Do you have some free time to help me with a project?,Not at this time.,high
do we have new york sorted out,Are our travel plans to New York still on track?,I've booked our flights to New York next week.,Do we have New York sorted out?,high
im on the 6th floor of the new building,Where are you now?,Have you reached the new IT department yet?,I'm on the 6th floor of the new building.,low
ill give you my handwritten notes,can you provide me with your lecture notes?,Have you taken thorough notes during our last team meeting?,I'll give you my handwritten notes.,low
im still here,are you still waiting for me?,Do you remember our last conversation about the novel we read in book club?,I'm still here.,high
he doesnt want to give the trading positions,Can you confirm the trading positions with John?,Have you asked him for his trading strategy?,He doesn't want to give the trading positions.,high
we will get you a copy,can you send me a copy of the contract?,I need a copy of the contract for next week's meeting.,We will get you a copy.,high
you are welcome in palacios this weekend of course,I've got an invitation to Palacios this weekend. Should I take it?,I'd love to visit Palacios over the weekend. Can I come?,"You are welcome in Palacios this weekend, of course.",low
please set something up,Can you set up the conference call for today?,Let's plan a dinner for next week.,Please set something up.,high
no at least not to my knowledge,do you know the password to my old laptop?,Have you heard about the new scientific discovery in quantum physics?,"No, at least not to my knowledge.",low
stop working weekends again,Why did you start working on weekends?,Can I count on you to work this weekend?,Stop working weekends again.,high
we had a vp prc meeting thursday,Did the VP approve our proposal last week?,Did you discuss business strategies with the VP during last week's PRC meeting?,We had a VP PRC meeting Thursday.,low
do you have a number for steve,Did you know that Steve will be joining us for the meeting tomorrow?,I need to contact Steve urgently.,Do you have a number for Steve?,low
here is the message,what's the best way to reach you?,Have you received the package from New York?,Here is the message.,high
we dont want to look bad to dyn,Are we going to make it to the meeting on time?,Our team's presentation at Dyn's conference is coming up. What should we wear?,We don't want to look bad to Dyn.,low
call me at 8328652445,Can I reach you on your phone?,I've found some important information regarding our project.,Call me at 832.865.2445.,low
talk to you soon,When are you free to meet up?,Have we scheduled our next meeting?,Talk to you soon.,high
it may be an hour,Are we going to make the meeting on time?,Have you finished preparing the report for tomorrow's meeting?,It may be an hour.,high
jim please confirm to vince you are happy,are you looking forward to the party tonight?,The new project's timeline seems quite tight. Are we all in agreement with the deadlines?,Jim please confirm to Vince you are happy.,high
were on the way,"We're running late for our flight, are we going to make it?","We're meeting at the usual place today, right?",We're on the way.,high
hope your week is going well,Did you have a relaxing weekend?,I've been struggling with my project deadline.,Hope your week is going well.,high
is this the only time available,Can I meet you at 3 pm today?,Can we meet next Tuesday at 3 PM?,Is this the only time available?,high
we just pulled schedules from the web,can you send me my flight schedule?,Have you set a meeting time yet?,We just pulled schedules from the web.,high
did you get the message to call mary kay,Did you confirm the meeting with Mary Kay for tomorrow?,I found your lost wallet on the bus,Did you get the message to call Mary Kay?,high
even michael was impressed,How did the CEO manage to pull off such an innovative presentation?,Did you see that physicist's explanation of quantum mechanics at the conference?,Even Michael was impressed.,high
no there will be plenty of others,will I ever find the one?,Do you know any good Italian restaurants in town?,No there will be plenty of others.,high
what is the purpose of this,I'm feeling anxious about my upcoming exam.,I've found an old map in the attic,What is the purpose of this?,high
no can do,can you meet me at the office tomorrow?,Can you bring the blue folder from the office safe?,No can do.,high
nice weather for it,I'm loving the sunshine today,Let's go on a hot air balloon ride today.,Nice weather for it.,high
i think those are the right dates,When are the Johnson's anniversary and birthday parties scheduled?,I checked the calendar and found possible dates for the meeting. How does the 15th and 17th of next month work for you?,I think those are the right dates.,high
does friday at 10 work for you,Can we schedule our meeting for next week?,I'd like to schedule a meeting next week.,Does Friday at 10 work for you?,high
thai sounds good,Are you up for trying some street food tonight?,Shall we have Thai food for dinner?,Thai sounds good.,high
do you want to fax it to my hotel,Can you receive attachments on your mobile?,I found some important documents in your email,Do you want to fax it to my hotel?,high
see you later,Can we meet up later today?,"I'll bring the potatoes for dinner, what should I also get from the store?",See you later.,high
see you later,Can we meet up later today?,"I'll bring the potatoes for dinner, what should I also get from the store?",See you later.,high
did you differ from me,did we really attend that party last night?,I believe we have contrasting opinions on this matter.,Did you differ from me?,high
hang in there guys,will we make it to the deadline?,The market has experienced a significant downturn today.,Hang in there guys.,high
works for me,can you hear me now?,Do you prefer coffee or tea for your morning beverage?,Works for me.,high
thanks  thats what i was hoping it was,Is the concert tonight at 7pm?,Is the red mark on your arm a mole or a bruise?,Thanks - that's what I was hoping it was.,low
just in case we havent invited any of them,Are you planning to invite any colleagues from the marketing department?,Do you think we should send out formal invitations for the event?,Just in case we haven't invited any of them.,high
didnt get a commitment,can we reschedule our meeting for tomorrow?,Can we finalize the deal next week?,Didn't get a commitment.,high
go ahead and notify,please notify me of any changes to the company policy,"I've found an important email from the HR department, what should I do?",Go ahead and notify.,high
i am getting lots of questions,Can you confirm if I'm getting too many questions?,Have you received many emails today?,I am getting lots of questions.,high
how did they get onto our floor,I just saw my neighbor's cat roaming around the office,I heard footsteps coming from the stairwell.,How did they get onto our floor?,high
will that work,Can we meet at the park on Saturday?,I'd like to use lemon juice as a natural cleaner for my kitchen counters. What do you think?,Will that work?,high
i will take a look at this today,can you review the sales report for last quarter?,Can you check if the company's financial reports from last quarter are ready?,I will take a look at this today.,high
yes still need it  when are you back,"I'm still looking for the USB drive, did you bring it?",I forgot my phone at home and I need to make some important calls today.,Yes still need it - when are you back?,low
on mahonia margining i spoke with mike garberding,Can you confirm the meeting with Mike Garberding?,Have you read the latest research on plant species in the Marginalia forest?,"On Mahonia margining, I spoke with Mike Garberding.",low
will you come get me,I'm stuck on the side of the road with a flat tire,"I forgot my keys at home, can you bring them to me?",Will you come get me?,high
i will conference in for thursdays customer service meeting,Can you join the Thursday customer service meeting?,Let's schedule the customer service meeting for next week.,I will conference in for Thursday's customer service meeting.,low
