original_clean,Unnamed: 0,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score,memorability_score_1,memorability_score_2,final_leiva_memscore,llm_mem,memorability_leiva
are you going to call,805,Are you going to call me back after the meeting?,Are you going to call?,8,2,Do you have the meeting details for tomorrow?,Are you going to call?,8,2,Are you going to call?,8,high,2.0,5,low,medium,low,low,low,low,1.4,1.4,13.2702836,13.2702836,13.2702836,8.0,high
did that happen,806,I just saw the funniest video of you trying to cook dinner!,Did that happen?,9,2,I saw a shooting star last night,Did that happen?,8,2,Did that happen?,9,high,1.0,3,low,high,high,high,low,low,2.2,2.2,13.0694983,13.0694983,13.0694983,8.5,high
this is all so unreal,815,Have you ever woken up in a hospital bed with no memory of who you are?,This is all so unreal.,6,3,Did you really win the lottery?,This is all so unreal.,7,2,This is all so unreal.,7,high,3.0,5,medium,low,low,high,low,low,1.4,1.4,13.3433636,13.3433636,13.3433636,6.5,high
sorry for the delay,817,"I'm running late for our meeting, what's the hold up?",Sorry for the delay.,8,1,I'll be there in five minutes.,Sorry for the delay.,8,1,Sorry for the delay.,7,high,0.0,4,low,high,medium,high,high,medium,2.6,2.0,12.52191,12.52191,12.52191,8.0,high
had a great meeting,818,Did you get the proposal approved today?,Had a great meeting.,6,2,I heard you had some important discussions at the marketing team's strategy session.,Had a great meeting.,8,2,Had a great meeting.,7,high,1.0,4,low,low,low,high,low,low,1.4,1.0,13.4133792,13.4133792,13.4133792,7.0,high
send to me,821,can you send me the link to that article?,Send to me.,8,1,Can you remind me of the code to unlock my phone?,Send to me.,10,1,Send to me.,7,high,1.0,3,low,low,low,low,low,low,1.0,1.0,11.71924,11.71924,11.71924,9.0,high
i know trey and cam will be there,825,Have you confirmed the team's attendance at the party?,I know Trey and Cam will be there.,8,1,I heard Trey and Cam are organizing the event next week.,I know Trey and Cam will be there.,10,1,I know Trey and Cam will be there.,3,low,0.0,8,low,high,medium,high,low,medium,2.6,2.0,15.3716106,15.3716106,15.3716106,9.0,low
if possible id like to get amys opinion,827,Have you seen the new movie trailer?,"If possible, I'd like to get Amy's opinion.",5,2,Do you think we should invite Tom to the party?,"If possible, I'd like to get Amy's opinion.",8,2,"If possible, I'd like to get Amy's opinion.",2,low,4.0,8,low,low,low,high,low,low,1.4,1.0,18.3146393,18.3146393,18.3146393,6.5,low
aig has agreed capital call not due until monday,830,When do I expect the call from AIG regarding the capital investment?,AIG has agreed capital call not due until Monday.,8,2,Have you received the latest financial update from AIG?,AIG has agreed capital call not due until Monday.,8,2,AIG has agreed capital call not due until Monday.,2,low,5.0,9,low,medium,low,low,low,medium,1.8,1.4,16.788534499999997,16.788534499999997,16.788534499999997,8.0,low
have we assigned employees to netco,832,Have we finalized the project plan for NetCo?,Have we assigned employees to NetCo?,8,2,Let's check our current project assignments.,Have we assigned employees to NetCo?,8,2,Have we assigned employees to NetCo?,3,low,7.0,6,medium,high,medium,high,medium,low,2.2,2.4,18.01871125,18.01871125,18.01871125,8.0,low
hope all is well,838,How was your meeting with the CEO?,Hope all is well.,8,2,I've been thinking about our project plans lately.,Hope all is well.,10,2,Hope all is well.,7,high,0.0,4,low,medium,medium,high,low,low,1.8,1.6,12.0683351,12.0683351,12.0683351,9.0,high
i have a request,841,What's the meaning behind your latest tattoo?,I have a request.,4,3,Can you help me find the best Italian restaurant in town?,I have a request.,10,2,I have a request.,9,high,1.0,4,low,medium,medium,low,low,low,1.4,1.6,11.7417238,11.7417238,11.7417238,7.0,high
better than most recently,842,Are you looking forward to the weekend?,Better than most recently.,4,2,Have you tried the new Italian restaurant downtown?,Better than most recently.,7,2,Better than most recently.,8,high,8.0,4,low,low,low,high,low,low,1.4,1.0,13.623405900000002,13.623405900000002,13.623405900000002,5.5,high
what is this,847,I'm receiving strange signals from an unknown location on my radar,What is this?,4,3,I've found an old map in the attic,What is this?,8,2,What is this?,8,high,1.0,3,low,medium,low,high,low,low,1.8,1.4,11.6745797,11.6745797,11.6745797,6.0,high
travis is in charge,849,Did our boss assign the project to Travis?,Travis is in charge.,8,2,Who will be leading the project team?,Travis is in charge.,8,2,Travis is in charge.,8,high,0.0,4,medium,medium,low,low,high,medium,1.8,1.8,12.614750399999998,12.614750399999998,12.614750399999998,8.0,high
fyi i saw ken caminiti at animal kingdom yesterday,856,Have you ever seen Ken Caminiti at Animal Kingdom?,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,9,1,Did you go to Animal Kingdom over the weekend?,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,5,2,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,2,low,6.0,9,low,high,low,high,low,medium,2.6,1.8,20.8924582,20.8924582,20.8924582,7.0,low
i dont know that i will be back monday,857,Are you going to make it back to the office on Monday?,I don't know that I will be back Monday.,6,2,Do you have plans for next week?,I don't know that I will be back Monday.,5,2,I don't know that I will be back Monday.,3,low,0.0,9,medium,high,medium,high,medium,high,3.0,2.4,15.770517600000002,15.770517600000002,15.770517600000002,5.5,low
are you in a good mood,866,I'm so excited for the concert tonight!,Are you in a good mood?,8,3,I've received good news today,Are you in a good mood?,10,2,Are you in a good mood?,7,high,2.0,6,medium,medium,medium,high,medium,high,2.6,2.0,13.6723729,13.6723729,13.6723729,9.0,high
thanks i will,873,Can you remind me what's for dinner tonight?,Thanks I will.,4,1,Have you finished preparing the presentation for tomorrow's meeting?,Thanks I will.,9,2,Thanks I will.,9,high,1.0,3,low,low,low,low,low,low,1.0,1.0,13.4830875,13.4830875,13.4830875,6.5,high
are you being a baby,877,"I'm so frustrated with my phone bill, I just got hit with a huge fine for missing a payment.",Are you being a baby?,8,2,I can't figure out how to use this app.,Are you being a baby?,6,2,Are you being a baby?,8,high,2.0,5,low,high,low,low,low,low,1.8,1.8,13.5074068,13.5074068,13.5074068,7.0,high
did you get this,878,I've been waiting for you at the coffee shop,Did you get this?,8,2,I've prepared a detailed presentation for our meeting tomorrow,Did you get this?,8,3,Did you get this?,8,high,0.0,4,medium,medium,medium,low,low,low,1.4,2.0,12.85237,12.85237,12.85237,8.0,high
she has the game tomorrow,885,What game does Sarah have scheduled for the weekend?,She has the game tomorrow.,8,1,Do you know when Emily's soccer team plays next?,She has the game tomorrow.,8,2,She has the game tomorrow.,7,high,3.0,5,medium,high,high,low,high,low,1.8,2.6,12.6068532,12.6068532,12.6068532,8.0,high
im on a plane,886,are you already at the airport?,I'm on a plane.,6,2,Do you know which city I'll be arriving at soon?,I'm on a plane.,5,2,I'm on a plane.,8,high,0.0,4,low,high,medium,high,low,medium,2.6,2.0,13.3497064,13.3497064,13.3497064,5.5,high
florida is great,887,Have you ever thought about visiting Miami during winter?,Florida is great.,6,2,Have you been to Florida recently and enjoyed it?,Florida is great.,8,1,Florida is great.,8,high,2.0,3,low,medium,low,medium,low,low,1.6,1.4,12.3387775,12.3387775,12.3387775,7.0,high
i sent it to her,888,did you send the file to your manager?,I sent it to her.,8,2,Did Bob receive the package from the post office?,I sent it to her.,5,2,I sent it to her.,9,high,2.0,5,low,high,low,high,low,medium,2.6,1.8,11.5538936,11.5538936,11.5538936,6.5,high
i will call,891,"I'll be late for our meeting, can we reschedule?",I will call.,4,1,Have you found my lost keys?,I will call.,8,2,I will call.,8,high,1.0,3,low,medium,low,high,low,low,1.8,1.4,11.2029983,11.2029983,11.2029983,6.0,high
on call with sp now,896,What's the status of our pending project?,On call with S&L now.,4,2,Have you checked the latest financial news from S&P?,On call with S&P now.,5,3,On call with S&P now.,9,high,2.0,5,low,medium,low,high,low,low,1.8,1.4,12.98663923,-1.0,12.98663923,4.5,high
im going to class,902,I'm running late for my 8am lecture,I'm going to class.,4,1,Do you have a class on physics today?,I'm going to class.,10,2,I'm going to class.,8,high,1.0,4,medium,medium,low,high,low,medium,2.2,1.8,13.6039195,13.6039195,13.6039195,7.0,high
see you on the third,903,When do you want to meet for dinner?,See you on the third.,7,2,Let's meet for lunch tomorrow at the usual place.,See you on the third.,10,1,See you on the third.,8,high,2.0,5,low,low,low,high,low,low,1.4,1.0,12.1344442,12.1344442,12.1344442,8.5,high
diane has info from littler on its proposed training,905,What are the details of Littler's proposed training for Diane?,Diane has info from Littler on its proposed training.,8,3,Have you received any updates from Littler about their upcoming training sessions?,Diane has info from Littler on its proposed training.,5,2,Diane has info from Littler on its proposed training.,3,low,7.0,9,medium,medium,medium,low,medium,low,1.4,2.0,18.0500801,18.0500801,18.0500801,6.5,low
youre right  typo,911,are you free for dinner tonight?,You're right - typo,4,2,I see you misspelled 'definitely' as 'deffinitely' in your last email.,You're right - typo.,10,1,You're right - typo,2,low,1.0,4,medium,high,low,low,high,low,1.8,2.2,16.8923,16.5956553,16.743977649999998,7.0,low
go for the dollars,918,Is the company going to give us a bonus?,Go for the dollars.,8,3,The stock market just hit an all-time high. What should we do?,Go for the dollars.,10,2,Go for the dollars.,7,high,1.0,4,medium,low,medium,low,low,low,1.0,1.6,12.2418449,12.2418449,12.2418449,9.0,high
she was leaving omaha for houston at 400,921,When did the flight leave?,She was leaving Omaha for Houston at 4:00.,6,2,Have you heard about the woman's flight plans?,She was leaving Omaha for Houston at 4:00.,5,1,She was leaving Omaha for Houston at 4:00.,0,low,4.0,8,low,high,medium,high,high,high,3.0,2.0,16.9412289,16.9412289,16.9412289,5.5,low
i have a doctors appointment for 1100 on tuesday,926,Are you free on Tuesday?,I have a doctor's appointment for 11:00 on Tuesday.,6,3,Do you have any important appointments coming up?,I have a doctor's appointment for 11:00 on Tuesday.,8,2,I have a doctor's appointment for 11:00 on Tuesday.,1,low,5.0,9,low,high,medium,high,high,high,3.0,2.0,16.761976699999998,16.761976699999998,16.761976699999998,7.0,low
do you need to be there,927,I'm thinking of skipping the meeting today,Do you need to be there?,6,2,I need to check the sales figures for next quarter.,Do you need to be there?,8,2,Do you need to be there?,7,high,0.0,6,medium,high,medium,high,low,medium,2.6,2.4,13.3845992,13.3845992,13.3845992,7.0,high
is that ok,931,can I change the meeting time to 2pm?,Is that OK?,8,2,Can we meet at the usual place tomorrow?,Is that OK?,10,1,Is that OK?,9,high,1.0,3,medium,high,medium,high,high,high,3.0,2.4,12.50419,12.50419,12.50419,9.0,high
jan has a lot of detail,935,Jan's presentation is quite intricate.,Jan has a lot of detail.,8,3,I heard Jan prepared an intricate presentation on climate change.,Jan has a lot of detail.,8,2,Jan has a lot of detail.,8,high,2.0,6,medium,high,low,high,low,medium,2.6,2.2,13.3205676,13.3205676,13.3205676,8.0,high
what do you think,938,Did you know that I won the lottery last night?,What do you think?,8,3,Do you believe the weather will improve tomorrow?,What do you think?,10,2,What do you think?,10,high,0.0,4,low,medium,medium,low,low,low,1.4,1.6,13.0180067,13.0180067,13.0180067,9.0,high
she is taking over global finance legal,943,Did you know that the world's finance systems are in chaos?,She is taking over Global Finance Legal.,4,2,Rumors have it that a new financial regulatory body is being formed.,She is taking over Global Finance Legal.,5,2,She is taking over Global Finance Legal.,3,low,3.0,7,medium,medium,medium,low,low,low,1.4,2.0,16.1656605,16.1656605,16.1656605,4.5,low
just sitting around,947,are you still watching Netflix?,Just sitting around.,8,1,"Hey, do you want to come over and help me with this project?",Just sitting around.,0,3,Just sitting around.,8,high,1.0,3,low,low,low,high,low,low,1.4,1.0,13.4169045,13.4169045,13.4169045,4.0,high
are you there,956,Are you sure about the meeting today?,Are you there?,8,1,Can you help me find the recipe for your famous chocolate cake?,Are you there?,10,2,Are you there?,10,high,1.0,3,low,low,low,low,low,low,1.0,1.0,13.0610245,13.0610245,13.0610245,9.0,high
im out of office till wednesday,961,can you help me with the Johnson report?,I'm out of office till Wednesday.,4,3,I need to discuss the project proposal with you urgently.,I'm out of office till Wednesday.,7,3,I'm out of office till Wednesday.,2,low,2.0,6,low,low,low,low,low,low,1.0,1.0,15.6850829,15.6850829,15.6850829,5.5,low
danny i recommended on monday we cancel it,965,Did we confirm the meeting for Friday?,Danny I recommended on Monday we cancel it.,8,2,I'm sorry to say that I think the project will incur unexpected costs.,Danny I recommended on Monday we cancel it.,5,2,Danny I recommended on Monday we cancel it.,2,low,4.0,8,medium,low,low,high,medium,low,1.4,1.4,16.5066713,16.5066713,16.5066713,6.5,low
it was very nice,970,I just got back from the conference and I had an amazing time!,It was very nice.,6,1,Have you tried the new Italian restaurant downtown?,It was very nice.,8,2,It was very nice.,7,high,0.0,4,low,medium,medium,high,low,low,1.8,1.6,11.9799051,11.9799051,11.9799051,7.0,high
if so what was it,974,what was the best book you read last year?,If so what was it?,8,1,I saw an interesting article about artificial intelligence.,If so what was it about?,7,2,If so what was it?,9,high,2.0,5,medium,medium,medium,low,medium,low,1.4,2.0,-1.0,12.003063399999998,12.003063399999998,7.5,high
in isolation all of these things are trivial,981,Is the meaning of life really just to be happy?,"In isolation, all of these things are trivial.",7,3,The stock market prices have reached an all-time high.,"In isolation, all of these things are trivial.",5,2,"In isolation, all of these things are trivial.",3,low,4.0,8,low,low,low,high,low,low,1.4,1.0,16.421475299999997,16.421475299999997,16.421475299999997,6.0,low
the troops just walked in,983,Have the enemy forces been sighted?,The troops just walked in.,8,3,I see the enemy troops approaching our position.,The troops just walked in.,5,3,The troops just walked in.,7,high,2.0,5,low,low,low,high,low,medium,1.8,1.0,13.0877942,13.0877942,13.0877942,6.5,high
this seems fine to me,989,can we reschedule the meeting for tomorrow?,This seems fine to me.,4,1,The new marketing strategy proposal looks good to me.,This seems fine to me.,10,1,This seems fine to me.,8,high,2.0,5,low,high,high,high,low,medium,2.6,2.2,12.5986082,12.5986082,12.5986082,7.0,high
man i dont want to get sick again,991,I think I'm coming down with something and I don't want to get infected again,Man I don't want to get sick again.,6,2,Have you been feeling ill lately?,Man I don't want to get sick again.,8,2,Man I don't want to get sick again.,3,low,0.0,8,medium,high,medium,high,low,medium,2.6,2.4,16.031870599999998,16.031870599999998,16.031870599999998,7.0,low
seemed fine when i picked him up,992,How was the dog's behavior during your morning walk?,Seemed fine when I picked him up.,8,1,I heard the dog whining before I left the house this morning.,Seemed fine when I picked him up.,5,2,Seemed fine when I picked him up.,3,low,3.0,7,low,low,low,medium,low,medium,1.6,1.0,15.8076669,15.8076669,15.8076669,6.5,low
are you back in town,995,"I just landed in New York, I'm exhausted from the long flight",Are you back in town?,6,3,I saw your car at the airport today.,Are you back in town?,8,2,Are you back in town?,7,high,2.0,5,medium,high,medium,low,medium,high,2.6,2.4,13.2751082,13.2751082,13.2751082,7.0,high
check and find out form,999,can you confirm your availability for the meeting tomorrow?,Check and find out from my calendar.,8,2,The stock price of Apple Inc. has been dropping lately. What could be the reason?,Check and find out form?,8,2,Check and find out form?,8,high,0.0,5,low,low,low,low,low,low,1.0,1.0,13.68103,-1.0,13.68103,8.0,high
this is the crew,1001,Is that the crew you're referring to in your presentation?,This is the crew.,8,1,Who is on the helicopter team?,This is the crew.,10,2,This is the crew.,7,high,-3.0,4,low,high,medium,low,low,medium,2.2,2.0,10.9464151,10.9464151,10.9464151,9.0,high
what a pain,1004,I just spilled coffee all over my shirt,What a pain.,6,2,I spilled coffee on my laptop,What a pain.,9,2,What a pain.,8,high,1.0,3,medium,medium,medium,low,low,low,1.4,2.0,11.5538083,11.5538083,11.5538083,7.5,high
i like it,1008,I'm thinking of going to the beach tomorrow.,I like it.,8,1,Have you read F. Scott Fitzgerald's The Great Gatsby?,I like it.,10,2,I like it.,8,high,1.0,3,medium,low,medium,low,low,low,1.0,1.6,10.1694697,10.1694697,10.1694697,9.0,high
san francisco was interconnect meeting,1009,What did you learn from the Interconnect meeting?,San Francisco was Interconnect meeting.,9,3,Did you attend the tech conference in California last week?,San Francisco was Interconnect meeting.,5,3,San Francisco was Interconnect meeting.,3,low,18.0,5,low,low,medium,high,low,low,1.4,1.2,16.75423,16.75423,16.75423,7.0,low
about 15 minutes,1010,I'll be arriving at the airport in,About 15 minutes.,8,2,How long will it take you to get there?,About 15 minutes.,9,2,About 15 minutes.,7,high,1.0,3,low,high,medium,high,high,low,2.2,2.0,13.50365,13.50365,13.50365,8.5,high
i have 30 minutes then,1012,Are you available to meet today?,I have 30 minutes then.,5,1,Can we discuss the presentation details for next week?,I have 30 minutes then.,9,2,I have 30 minutes then.,8,high,2.0,5,low,high,medium,high,medium,low,2.2,2.0,13.2775303,13.2775303,13.2775303,7.0,high
what are the units,1015,What is the average speed of a commercial airliner?,What are the units?,5,3,I'm converting 30 degrees Celsius to Fahrenheit.,What are the units?,7,1,What are the units?,7,high,-2.0,4,low,low,low,low,low,medium,1.4,1.0,12.8733929,12.8733929,12.8733929,6.0,high
who should i contact regarding severance,1021,I've been laid off due to company restructuring.,Who should I contact regarding severance?,8,3,I've been let go from my job and need to know about my severance package.,Who should I contact regarding severance?,10,1,Who should I contact regarding severance?,3,low,8.0,6,low,high,medium,high,low,medium,2.6,2.0,18.65394465,18.65394465,18.65394465,9.0,low
check with vince strohmeyer,1022,Can you confirm the meeting with Vince Strohmeyer for tomorrow?,Check with Vince Strohmeyer.,8,2,I need the latest report on sales figures for Q3.,Check with Vince Strohmeyer.,7,2,Check with Vince Strohmeyer.,2,low,12.0,4,medium,medium,low,low,low,low,1.4,1.8,18.8781644,18.8781644,18.8781644,7.5,low
i would agree,1023,the company's decision to downsize has affected our team's morale,I would agree.,6,2,Do you think the weather will be nice tomorrow?,I would agree.,10,1,I would agree.,7,high,1.0,3,low,medium,medium,high,low,medium,2.2,1.6,11.9096775,11.9096775,11.9096775,8.0,high
i can get them,1026,can you pick up some groceries for me?,I can get them.,8,2,Do you have any fresh tomatoes at the market?,I can get them.,9,1,I can get them.,7,high,0.0,4,low,medium,low,low,low,medium,1.8,1.4,11.1696651,11.1696651,11.1696651,8.5,high
still tied up,1035,"I'm waiting for an update on the meeting, have you heard anything?",Still tied up.,5,2,Have you finished the project?,Still tied up.,8,2,Still tied up.,7,high,1.0,3,medium,low,low,low,low,low,1.0,1.4,13.1493,13.1493,13.1493,6.5,high
then they should go home,1039,why did John get into trouble?,Then they should go home.,5,1,"It's raining heavily outside, they should consider staying indoors.",Then they should go home.,8,1,Then they should go home.,7,high,2.0,5,low,low,low,high,medium,low,1.4,1.0,12.851597599999998,12.851597599999998,12.851597599999998,6.5,high
not at this time,1046,are you available for lunch today?,Not at this time.,6,2,Do you have some free time to help me with a project?,Not at this time.,8,2,Not at this time.,8,high,0.0,4,low,low,low,low,high,high,1.8,1.0,11.2433651,11.2433651,11.2433651,7.0,high
im on the 6th floor of the new building,1051,Where are you now?,I'm on the 6th floor of the new building.,8,3,Have you reached the new IT department yet?,I'm on the 6th floor of the new building.,8,1,I'm on the 6th floor of the new building.,3,low,1.0,9,low,high,medium,medium,low,high,2.8,2.0,16.3220923,16.3220923,16.3220923,8.0,low
ill give you my handwritten notes,1053,can you provide me with your lecture notes?,I'll give you my handwritten notes.,7,2,Have you taken thorough notes during our last team meeting?,I'll give you my handwritten notes.,8,2,I'll give you my handwritten notes.,2,low,3.0,6,low,high,medium,high,low,medium,2.6,2.0,16.725184,16.725184,16.725184,7.5,low
we will get you a copy,1067,can you send me a copy of the contract?,We will get you a copy.,8,2,I need a copy of the contract for next week's meeting.,We will get you a copy.,10,2,We will get you a copy.,8,high,0.0,6,low,high,medium,medium,low,medium,2.4,2.0,13.1540229,13.1540229,13.1540229,9.0,high
you are welcome in palacios this weekend of course,1068,I've got an invitation to Palacios this weekend. Should I take it?,"You are welcome in Palacios this weekend, of course.",8,3,I'd love to visit Palacios over the weekend. Can I come?,"You are welcome in Palacios this weekend, of course.",10,1,"You are welcome in Palacios this weekend, of course.",3,low,4.0,9,low,low,low,high,medium,low,1.4,1.0,16.9536729,16.9536729,16.9536729,9.0,low
we had a vp prc meeting thursday,1078,Did the VP approve our proposal last week?,We had a VP PRC meeting Thursday.,8,1,Did you discuss business strategies with the VP during last week's PRC meeting?,We had a VP PRC meeting Thursday.,5,2,We had a VP PRC meeting Thursday.,3,low,3.0,7,low,medium,low,low,low,low,1.4,1.4,16.3255592,16.3255592,16.3255592,6.5,low
here is the message,1083,what's the best way to reach you?,Here is the message.,6,2,Have you received the package from New York?,Here is the message.,5,2,Here is the message.,7,high,1.0,4,low,high,medium,high,low,low,2.2,2.0,11.9979704,11.9979704,11.9979704,5.5,high
we dont want to look bad to dyn,1084,Are we going to make it to the meeting on time?,We don't want to look bad to Dyn.,6,2,Our team's presentation at Dyn's conference is coming up. What should we wear?,We don't want to look bad to Dyn.,8,1,We don't want to look bad to Dyn.,3,low,-2.0,8,medium,medium,low,high,low,low,1.8,1.8,17.45898519,17.45898519,17.45898519,7.0,low
call me at 8328652445,1086,Can I reach you on your phone?,Call me at 832.865.2445.,8,2,I've found some important information regarding our project.,Call me at 832.865.2445.,7,2,Call me at 832.865.2445.,1,low,0.0,4,low,high,medium,high,low,high,3.0,2.0,18.9520702,18.9520702,18.9520702,7.5,low
talk to you soon,1087,When are you free to meet up?,Talk to you soon.,6,1,Have we scheduled our next meeting?,Talk to you soon.,8,2,Talk to you soon.,7,high,0.0,4,low,low,low,low,low,low,1.0,1.0,12.1007451,12.1007451,12.1007451,7.0,high
it may be an hour,1089,Are we going to make the meeting on time?,It may be an hour.,4,2,Have you finished preparing the report for tomorrow's meeting?,It may be an hour.,7,2,It may be an hour.,7,high,2.0,5,low,medium,medium,medium,low,low,1.6,1.6,12.1147616,12.1147616,12.1147616,5.5,high
were on the way,1092,"We're running late for our flight, are we going to make it?",We're on the way.,6,1,"We're meeting at the usual place today, right?",We're on the way.,10,1,We're on the way.,8,high,0.0,4,low,high,medium,medium,low,low,2.0,2.0,11.13640923,11.13640923,11.13640923,8.0,high
hope your week is going well,1093,Did you have a relaxing weekend?,Hope your week is going well.,7,2,I've been struggling with my project deadline.,Hope your week is going well.,8,3,Hope your week is going well.,8,high,1.0,6,low,high,low,high,low,low,2.2,1.8,13.5849205,13.5849205,13.5849205,7.5,high
what is the purpose of this,1101,I'm feeling anxious about my upcoming exam.,What is the purpose of this?,6,1,I've found an old map in the attic,What is the purpose of this?,7,2,What is the purpose of this?,8,high,0.0,6,low,high,low,high,low,low,2.2,1.8,13.0473271,13.0473271,13.0473271,6.5,high
no can do,1106,can you meet me at the office tomorrow?,No can do.,4,1,Can you bring the blue folder from the office safe?,No can do.,6,2,No can do.,9,high,1.0,3,low,low,low,low,low,low,1.0,1.0,11.2454915,11.2454915,11.2454915,5.0,high
nice weather for it,1108,I'm loving the sunshine today,Nice weather for it.,8,1,Let's go on a hot air balloon ride today.,Nice weather for it.,7,1,Nice weather for it.,10,high,1.0,4,medium,high,high,high,medium,high,3.0,2.6,12.9794153,12.9794153,12.9794153,7.5,high
see you later,1121,Can we meet up later today?,See you later.,8,1,"I'll bring the potatoes for dinner, what should I also get from the store?",See you later.,8,2,See you later.,7,high,1.0,3,low,low,low,high,low,medium,1.8,1.0,12.5018545,11.574383,12.038118749999999,8.0,high
see you later,1121,Can we meet up later today?,See you later.,8,1,"I'll bring the potatoes for dinner, what should I also get from the store?",See you later.,8,2,See you later.,7,high,1.0,3,low,low,low,high,low,medium,1.8,1.0,12.5018545,12.5018545,12.5018545,8.0,high
hang in there guys,1126,will we make it to the deadline?,Hang in there guys.,8,2,The market has experienced a significant downturn today.,Hang in there guys.,8,2,Hang in there guys.,8,high,-2.0,4,low,low,low,low,low,medium,1.4,1.0,12.8592729,12.8592729,12.8592729,8.0,high
works for me,1127,can you hear me now?,Works for me.,6,2,Do you prefer coffee or tea for your morning beverage?,Works for me.,10,1,Works for me.,8,high,1.0,3,low,low,low,low,low,medium,1.4,1.0,12.013053,12.013053,12.013053,8.0,high
thanks  thats what i was hoping it was,1128,Is the concert tonight at 7pm?,Thanks - that's what I was hoping it was.,6,2,Is the red mark on your arm a mole or a bruise?,"It's just a bruise, thanks - that's what I was hoping it was.",8,1,Thanks - that's what I was hoping it was.,2,low,2.0,9,low,high,medium,low,low,low,1.8,2.0,-1.0,17.071478499999998,17.071478499999998,7.0,low
will that work,1143,Can we meet at the park on Saturday?,Will that work?,8,1,I'd like to use lemon juice as a natural cleaner for my kitchen counters. What do you think?,Will that work?,8,2,Will that work?,9,high,1.0,3,medium,high,medium,low,low,medium,2.2,2.4,11.7867015,11.7867015,11.7867015,8.0,high
yes still need it  when are you back,1148,"I'm still looking for the USB drive, did you bring it?",Yes still need it - when are you back?,6,2,I forgot my phone at home and I need to make some important calls today.,Yes still need it - when are you back?,10,2,Yes still need it - when are you back?,2,low,0.0,9,low,high,medium,high,low,low,2.2,2.0,16.0101912,16.0101912,16.0101912,8.0,low
on mahonia margining i spoke with mike garberding,1152,Can you confirm the meeting with Mike Garberding?,"On Mahonia margining, I spoke with Mike Garberding.",7,3,Have you read the latest research on plant species in the Marginalia forest?,"On Mahonia margining, I spoke with Mike Garberding.",2,3,"On Mahonia margining, I spoke with Mike Garberding.",1,low,9.0,8,low,high,low,low,low,medium,2.2,1.8,21.3392381,21.3392381,21.3392381,4.5,low
will you come get me,1153,I'm stuck on the side of the road with a flat tire,Will you come get me?,8,2,"I forgot my keys at home, can you bring them to me?",Will you come get me?,10,2,Will you come get me?,8,high,2.0,5,low,high,medium,high,low,medium,2.6,2.0,13.165824269999998,13.165824269999998,13.165824269999998,9.0,high
i will conference in for thursdays customer service meeting,1154,Can you join the Thursday customer service meeting?,I will conference in for Thursday's customer service meeting.,8,1,Let's schedule the customer service meeting for next week.,I will conference in for Thursday's customer service meeting.,10,1,I will conference in for Thursday's customer service meeting.,3,low,8.0,9,medium,high,medium,high,high,high,3.0,2.4,17.2391376,17.2391376,17.2391376,9.0,low
